,date,club,name,age,cob,formation
0,18/09/2012,Dinamo Zagreb,Ivan Kelava,24.0,Yugoslavia,Dinamo Zagreb
1,18/09/2012,Dinamo Zagreb,Josip Šimunić,34.0,Australia,Australian Institute of Sport
2,18/09/2012,Dinamo Zagreb,Adrián Calello,25.0,Argentina,
3,18/09/2012,Dinamo Zagreb,Arijan Ademi,21.0,Croatia,
4,18/09/2012,Dinamo Zagreb,Sammir,25.0,Brazil,Atlético Paranaense
5,18/09/2012,Dinamo Zagreb,Tonel,32.0,Portugal,Porto
6,18/09/2012,Dinamo Zagreb,Josip Pivarić,23.0,Yugoslavia,Dinamo Zagreb
7,18/09/2012,Dinamo Zagreb,Domagoj Vida,23.0,Yugoslavia,Jedinstvo Donji Miholjac
8,18/09/2012,Dinamo Zagreb,Ante Rukavina,26.0,Yugoslavia,
9,18/09/2012,Dinamo Zagreb,Marcelo Brozović,19.0,Croatia,Hrvatski Dragovoljac
10,18/09/2012,Dinamo Zagreb,Duje Čop,22.0,Yugoslavia,Hajduk Split
11,18/09/2012,Dinamo Zagreb,Romeo Mitrović,33.0,Yugoslavia,
12,18/09/2012,Dinamo Zagreb,Luis Ibáñez,24.0,Argentina,
13,18/09/2012,Dinamo Zagreb,Mateo Kovačić,18.0,Austria,LASK Linz
14,18/09/2012,Dinamo Zagreb,Šime Vrsaljko,20.0,Croatia,
15,18/09/2012,Dinamo Zagreb,Bryan Carrasco,21.0,Chile,Audax Italiano
16,18/09/2012,Dinamo Zagreb,Mehmed Alispahić,24.0,Yugoslavia,Iskra Bugojno
17,18/09/2012,Dinamo Zagreb,Fatos Bećiraj,24.0,Yugoslavia,Shqiponja
18,18/09/2012,Porto,Helton,,,
19,18/09/2012,Porto,Lucho González,31.0,Argentina,Huracán
20,18/09/2012,Porto,Maicon,24.0,Brazil,Cruzeiro
21,18/09/2012,Porto,João Moutinho,26.0,Portugal,Portimonense
22,18/09/2012,Porto,Jackson Martínez,25.0,Colombia,
23,18/09/2012,Porto,James Rodríguez,21.0,Colombia,Envigado
24,18/09/2012,Porto,Miguel Lopes,25.0,Portugal,Oriental
25,18/09/2012,Porto,Silvestre Varela,27.0,Portugal,Pescadores
26,18/09/2012,Porto,Alex Sandro,21.0,Brazil,Atletico Parananense
27,18/09/2012,Porto,Nicolás Otamendi,24.0,Argentina,Vélez Sarsfield
28,18/09/2012,Porto,Steven Defour,24.0,Belgium,Mechelen
29,18/09/2012,Porto,Fabiano,31.0,Brazil,
30,18/09/2012,Porto,Danilo,30.0,Brazil,Sport Recife
31,18/09/2012,Porto,André Castro,24.0,Portugal,Porto
32,18/09/2012,Porto,Juan Manuel Iturbe,19.0,Argentina,
33,18/09/2012,Porto,Kléber,22.0,Brazil,
34,18/09/2012,Porto,Eliaquim Mangala,21.0,France,AC Lustin
35,18/09/2012,Porto,Christian Atsu,20.0,Ghana,
36,18/09/2012,Paris,Salvatore Sirigu,25.0,Italy,
37,18/09/2012,Paris,Thiago Silva,27.0,Brazil,Barcelona
38,18/09/2012,Paris,Jérémy Ménez,25.0,France,CFF Paris
39,18/09/2012,Paris,Alex,30.0,Brazil,
40,18/09/2012,Paris,Blaise Matuidi,25.0,France,US Fontenay-sous-Bois
41,18/09/2012,Paris,Maxwell,31.0,Brazil,
42,18/09/2012,Paris,Zlatan Ibrahimović,30.0,Sweden,
43,18/09/2012,Paris,Clément Chantôme,25.0,France,Paris Saint-Germain
44,18/09/2012,Paris,Marco Verratti,19.0,Italy,Pescara
45,18/09/2012,Paris,Christophe Jallet,28.0,France,Cognac
46,18/09/2012,Paris,Javier Pastore,23.0,Argentina,Talleres
47,18/09/2012,Paris,Nicolas Douchez,32.0,France,
48,18/09/2012,Paris,Zoumana Camara,33.0,France,
49,18/09/2012,Paris,Nenê,,,
50,18/09/2012,Paris,Ezequiel Lavezzi,27.0,Argentina,Rosario Central
51,18/09/2012,Paris,Mathieu Bodmer,29.0,France,Caen
52,18/09/2012,Paris,Kevin Gameiro,25.0,France,Marly-la-Ville
53,18/09/2012,Paris,Sylvain Armand,32.0,France,
54,18/09/2012,Dynamo Kyiv,Maxym Koval,19.0,Ukraine,Metalurh Zaporizhya Youth
55,18/09/2012,Dynamo Kyiv,Danilo Silva,25.0,Brazil,
56,18/09/2012,Dynamo Kyiv,Miguel Veloso,26.0,Portugal,Benfica
57,18/09/2012,Dynamo Kyiv,Andriy Yarmolenko,22.0,Soviet Union,
58,18/09/2012,Dynamo Kyiv,Ideye Brown,23.0,Nigeria,
59,18/09/2012,Dynamo Kyiv,Taras Mikhalik,28.0,Soviet Union,
60,18/09/2012,Dynamo Kyiv,Denys Garmash,22.0,Ukrainian SSR,
61,18/09/2012,Dynamo Kyiv,Niko Kranjčar,28.0,Yugoslavia,
62,18/09/2012,Dynamo Kyiv,Taye Taiwo,27.0,Nigeria,
63,18/09/2012,Dynamo Kyiv,Yevhen Khacheridi,25.0,Soviet Union,
64,18/09/2012,Dynamo Kyiv,Raffael,,,
65,18/09/2012,Dynamo Kyiv,Olexandr Shovkovskiy,37.0,Ukraine,Dynamo Kyiv
66,18/09/2012,Dynamo Kyiv,Betão,28.0,Brazil,
67,18/09/2012,Dynamo Kyiv,Ognjen Vukojević,28.0,Yugoslavia,
68,18/09/2012,Dynamo Kyiv,Admir Mehmedi,21.0,Yugoslavia,FC Winterthur
69,18/09/2012,Dynamo Kyiv,Oleh Gusev,29.0,Ukrainian SSR,
70,18/09/2012,Dynamo Kyiv,Andriy Bogdanov,,,
71,18/09/2012,Dynamo Kyiv,Miloš Ninković,27.0,Yugoslavia,
72,18/09/2012,Montpellier,Geoffrey Jourdren,26.0,France,CS Meaux
73,18/09/2012,Montpellier,Garry Bocaly,24.0,Martinique,EV Les Trois Ilets
74,18/09/2012,Montpellier,Mapou Yanga-Mbiwa,23.0,Central African Republic,Montpellier
75,18/09/2012,Montpellier,Hilton,,,
76,18/09/2012,Montpellier,Henri Bedimo,28.0,Cameroon,
77,18/09/2012,Montpellier,Anthony Mounier,24.0,France,Lyon
78,18/09/2012,Montpellier,Younes Belhanda,22.0,France,Montpellier
79,18/09/2012,Montpellier,Marco Estrada,29.0,Chile,
80,18/09/2012,Montpellier,Souleymane Camara,29.0,Senegal,
81,18/09/2012,Montpellier,Rémy Cabella,22.0,France,Montpellier
82,18/09/2012,Montpellier,Jamel Saihi,25.0,France,Montpellier
83,18/09/2012,Montpellier,Laurent Pionnier,30.0,France,
84,18/09/2012,Montpellier,Joris Marveaux,30.0,France,Nantes
85,18/09/2012,Montpellier,Emanuel Herrera,25.0,Argentina,Rosario Central
86,18/09/2012,Montpellier,Daniel Congré,27.0,France,Toulouse
87,18/09/2012,Montpellier,Karim Aït-Fana,23.0,France,AS Saint-Louis
88,18/09/2012,Montpellier,Benjamin Stambouli,22.0,France,Montpellier
89,18/09/2012,Montpellier,Cyril Jeunechamp,36.0,France,
90,18/09/2012,Arsenal,Vito Mannone,24.0,Italy,Atalanta
91,18/09/2012,Arsenal,Abou Diaby,26.0,France,Aubervilliers
92,18/09/2012,Arsenal,Per Mertesacker,27.0,West Germany,Hannover 96
93,18/09/2012,Arsenal,Thomas Vermaelen,26.0,Belgium,Germinal Ekeren
94,18/09/2012,Arsenal,Mikel Arteta,30.0,Spain,Antiguoko
95,18/09/2012,Arsenal,Lukas Podolski,27.0,Poland,1. FC Köln
96,18/09/2012,Arsenal,Olivier Giroud,25.0,France,Froges
97,18/09/2012,Arsenal,Santi Cazorla,27.0,Spain,Oviedo
98,18/09/2012,Arsenal,Carl Jenkinson,20.0,England,Charlton Athletic
99,18/09/2012,Arsenal,Gervinho,25.0,Ivory Coast,ASEC Mimosas
100,18/09/2012,Arsenal,Kieran Gibbs,22.0,England,Arsenal
101,18/09/2012,Arsenal,James Shea,21.0,England,Arsenal
102,18/09/2012,Arsenal,Laurent Koscielny,27.0,France,Brive
103,18/09/2012,Arsenal,André Santos,29.0,Brazil,
104,18/09/2012,Arsenal,Theo Walcott,23.0,England,
105,18/09/2012,Arsenal,Alex Oxlade-Chamberlain,19.0,England,Southampton
106,18/09/2012,Arsenal,Aaron Ramsey,21.0,Wales,Cardiff City
107,18/09/2012,Arsenal,Francis Coquelin,21.0,France,AS du Bourny
108,18/09/2012,Olympiacos,Balázs Megyeri,22.0,Hungary,Ferencváros
109,18/09/2012,Olympiacos,Giannis Maniatis,25.0,Greece,
110,18/09/2012,Olympiacos,François Modesto,34.0,France,
111,18/09/2012,Olympiacos,Paulo Machado,26.0,Portugal,Cerco do Porto
112,18/09/2012,Olympiacos,Rafik Djebbour,28.0,France,Auxerre
113,18/09/2012,Olympiacos,Pablo Contreras,34.0,Chile,Colo-Colo
114,18/09/2012,Olympiacos,David Fuster,30.0,Spain,UD Oliva
