,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,pass_pct,penalties_in,penalties_mi,red_cards,yellow_cards
Aaron Ramsey,26.0,2.0,24.0,19.0,7.0,1638.0,2.0,0.0,1154.0,0.0,0.0,0.0,5.0
Abdel El Kaoutari,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,,0.0,0.0,0.0,0.0
Abdou Aziz Thiam,,,,,,,,,1113.0,,,,
Abdoulaye Ba,3.0,0.0,4.0,0.0,0.0,160.0,0.0,0.0,73.0,0.0,0.0,0.0,2.0
Abdul Baba Rahman,2.0,0.0,3.0,2.0,0.0,180.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0
Abel Masuero,1.0,0.0,0.0,1.0,0.0,46.0,0.0,0.0,,0.0,0.0,0.0,0.0
Abou Diaby,2.0,0.0,2.0,0.0,0.0,95.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0
Abzal Beysebekov,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0
Adam Johnson,5.0,0.0,0.0,2.0,0.0,90.0,1.0,0.0,250.0,0.0,0.0,0.0,0.0
Adam Lallana,4.0,0.0,5.0,1.0,0.0,221.0,3.0,0.0,166.0,0.0,0.0,0.0,0.0
Adam Maher,1.0,2.0,0.0,1.0,0.0,89.0,1.0,0.0,,0.0,0.0,0.0,0.0
Adam Matthews,9.0,0.0,1.0,4.0,0.0,619.0,0.0,0.0,228.0,0.0,0.0,0.0,1.0
Adama Traoré,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0
Adel Taarabt,2.0,0.0,0.0,2.0,0.0,136.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
Adem Ljajić,4.0,0.0,0.0,3.0,0.0,184.0,1.0,0.0,238.0,0.0,0.0,0.0,0.0
Adil Rami,14.0,0.0,18.0,13.0,2.0,1260.0,2.0,0.0,572.0,0.0,0.0,1.0,3.0
Admir Mehmedi,3.0,0.0,1.0,2.0,1.0,108.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
Adnan Januzaj,2.0,0.0,0.0,5.0,0.0,99.0,1.0,0.0,2987.0,0.0,0.0,0.0,0.0
Adrian Cristea,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,0.0,1.0
Adrian Mierzejewski,5.0,0.0,6.0,7.0,0.0,278.0,2.0,0.0,244.0,0.0,0.0,0.0,2.0
Adrian Popa,5.0,1.0,7.0,4.0,0.0,406.0,2.0,0.0,184.0,0.0,0.0,0.0,1.0
Adrian Sălăgeanu,4.0,0.0,5.0,4.0,0.0,360.0,0.0,0.0,200.0,0.0,0.0,1.0,1.0
