,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Aaron Hunt,6,0,7,8,0,540,2,0,0,0,0,0
Aaron Lennon,4,2,3,7,0,360,0,0,0,0,0,0
Aaron Ramsey,11,1,11,9,0,990,1,0,0,0,0,0
Abdeslam Ouaddou,1,0,1,1,0,90,0,0,0,0,0,0
Abdou Traoré,3,0,6,3,0,270,0,0,0,0,0,0
Abdoulay Konko,2,0,4,3,0,180,0,0,0,0,0,0
Abdoulaye Ba,1,0,1,0,0,90,0,0,0,0,0,0
Abel,7,0,6,6,0,630,1,0,0,0,0,0
Abou Diaby,6,1,10,7,0,540,0,0,0,0,0,0
Adam Johnson,1,0,0,2,0,90,0,0,0,0,0,0
Adam Lallana,1,0,3,0,0,90,1,0,0,0,0,0
Adam Matthews,3,0,0,1,0,270,0,0,0,0,0,0
Adama Coulibaly,3,0,3,2,0,270,0,0,0,0,0,0
Adamo Coulibaly,2,0,5,5,0,180,5,0,0,0,0,0
Adel Taarabt,1,0,0,2,0,90,0,0,0,0,0,0
Adem Ljajić,1,0,0,1,0,90,1,0,0,0,0,0
Adil Rami,7,0,8,4,0,630,2,0,0,0,0,0
Admir Vladavić,2,0,1,4,0,180,1,0,0,0,0,0
Adnan Januzaj,1,0,0,4,0,90,1,0,0,0,0,0
Adrian Mierzejewski,1,0,2,1,0,90,0,0,0,0,0,0
Adrian Mutu,5,0,13,12,0,450,5,0,0,0,0,0
Adrian Neaga,2,0,1,3,0,180,2,0,0,0,0,0
Adrian Nikci,1,0,4,0,0,90,1,0,0,0,0,0
Adrian Popa,3,1,2,2,0,270,1,0,0,0,0,0
Adrian Sălăgeanu,2,0,4,3,0,180,0,0,0,0,0,0
Adriano,23,3,32,25,0,2070,4,0,0,0,0,0
Adrien Rabiot,4,0,11,7,0,360,0,0,0,0,0,0
Adrien Silva,4,0,7,6,0,360,0,0,0,0,0,0
Adrián Calello,4,0,5,1,0,360,0,0,0,0,0,0
Adrián López,6,2,2,5,0,540,3,0,0,0,0,0
Agim Ibraimi,3,0,4,2,0,270,6,0,0,0,0,0
Ahmed Barusso,1,0,3,0,0,90,0,0,0,0,0,0
Ahmed Hamoudi,1,0,1,3,0,90,0,0,0,0,0,0
Ahmed Hassan,2,0,3,6,0,180,0,0,0,0,0,0
Ahmed Musa,6,2,10,7,0,540,3,0,0,0,0,0
Aiden McGeady,11,2,2,23,0,990,2,0,0,0,0,0
Ak Orhan,1,0,1,5,0,90,0,0,0,0,0,0
Akis Zikos,2,0,4,5,0,180,0,0,0,0,0,0
Alain Rochat,3,0,4,3,0,270,0,0,0,0,0,0
Alaixys Romao,2,0,5,0,0,180,0,0,0,0,0,0
